ID,DateTime,Record,Status,Lat,Lon,Wind,Pressure,NE_34kt,SE_34kt,SW_34kt,NW_34kt,NE_50kt,SE_50kt,SW_50kt,NW_50kt,NE_64kt,SE_64kt,SW_64kt,NW_64kt
AL122011, 2011-09-08T12:00:00Z, U, HU, 32.8, -70.2, 80.0, 966.0, 200.0, 180.0, 150.0, 180.0, 140.0, 110.0, 90.0, 100.0, 80.0, 60.0, 40.0, 70.0
AL172011, 2011-09-29T18:00:00Z, U, TS, 19.7, -43.0, 45.0, 1005.0, 90.0, 45.0, 0.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL142012, 2012-09-24T00:00:00Z, U, TS, 31.1, -26.2, 45.0, 990.0, 200.0, 140.0, 120.0, 200.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042005, 2005-07-09T00:00:00Z, U, HU, 22.7, -81.6, 100.0, 960.0, 150.0, 150.0, 75.0, 140.0, 90.0, 75.0, 30.0, 55.0, 55.0, 35.0, 20.0, 30.0
AL122017, 2017-09-06T06:00:00Z, U, TS, 12.5, -42.6, 50.0, 1001.0, 50.0, 40.0, 0.0, 40.0, 30.0, 20.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0
AL082007, 2007-09-15T00:00:00Z, U, TS, 15.9, -51.2, 35.0, 1005.0, 45.0, 35.0, 0.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092012, 2012-08-29T12:00:00Z, U, HU, 29.4, -90.5, 65.0, 968.0, 180.0, 150.0, 150.0, 110.0, 80.0, 70.0, 40.0, 30.0, 50.0, 50.0, 0.0, 0.0
AL312005, 2006-01-04T06:00:00Z, U, TS, 22.1, -42.9, 50.0, 997.0, 125.0, 75.0, 25.0, 125.0, 60.0, 0.0, 0.0, 60.0, 0.0, 0.0, 0.0, 0.0
AL042007, 2007-08-21T18:00:00Z, U, HU, 19.2, -90.5, 75.0, 960.0, 175.0, 120.0, 60.0, 120.0, 60.0, 60.0, 40.0, 60.0, 30.0, 30.0, 20.0, 30.0
AL072009, 2009-09-13T12:00:00Z, U, LO, 17.9, -34.7, 30.0, 1007.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL012015, 2015-05-08T18:00:00Z, U, SS, 31.6, -77.4, 45.0, 999.0, 100.0, 100.0, 80.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112004, 2004-09-17T12:00:00Z, U, TS, 19.7, -70.7, 50.0, 990.0, 175.0, 150.0, 0.0, 75.0, 100.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0
AL162007, 2007-10-25T18:00:00Z, U, LO, 19.1, -64.1, 25.0, 1006.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL132010, 2010-09-14T06:00:00Z, U, LO, 17.0, -81.1, 25.0, 1003.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092013, 2013-09-12T00:00:00Z, U, HU, 18.6, -28.9, 80.0, 979.0, 130.0, 120.0, 70.0, 100.0, 60.0, 50.0, 30.0, 50.0, 40.0, 30.0, 20.0, 30.0
AL162010, 2010-09-28T18:00:00Z, U, TS, 21.0, -82.7, 40.0, 999.0, 0.0, 300.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112004, 2004-09-29T00:00:00Z, U, EX, 38.3, -76.4, 25.0, 999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122017, 2017-09-20T00:00:00Z, U, TS, 37.6, -71.2, 60.0, 973.0, 210.0, 200.0, 160.0, 180.0, 90.0, 60.0, 80.0, 100.0, 0.0, 0.0, 0.0, 0.0
AL042013, 2013-07-30T12:00:00Z, U, DB, 21.7, -71.0, 25.0, 1015.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL082005, 2005-08-09T06:00:00Z, U, EX, 41.8, -43.0, 50.0, 995.0, 100.0, 120.0, 100.0, 100.0, 25.0, 25.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0
AL082007, 2007-09-15T12:00:00Z, U, TS, 16.3, -53.3, 35.0, 1005.0, 35.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL082014, 2014-10-20T00:00:00Z, U, EX, 52.6, -38.3, 55.0, 982.0, 180.0, 320.0, 300.0, 0.0, 90.0, 200.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL252005, 2005-10-22T18:00:00Z, U, HU, 21.3, -87.1, 85.0, 958.0, 175.0, 175.0, 120.0, 150.0, 100.0, 100.0, 75.0, 100.0, 75.0, 75.0, 50.0, 75.0
AL072009, 2009-09-09T00:00:00Z, U, HU, 12.4, -30.3, 70.0, 983.0, 75.0, 75.0, 45.0, 60.0, 45.0, 30.0, 25.0, 30.0, 20.0, 20.0, 10.0, 10.0
AL182012, 2012-10-29T12:00:00Z, U, HU, 36.9, -71.0, 85.0, 945.0, 420.0, 420.0, 400.0, 270.0, 200.0, 150.0, 200.0, 180.0, 0.0, 70.0, 120.0, 0.0
AL102016, 2016-09-12T18:00:00Z, U, TS, 22.2, -50.6, 35.0, 1003.0, 150.0, 140.0, 0.0, 120.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL062004, 2004-09-07T12:00:00Z, U, TD, 32.0, -85.2, 25.0, 992.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL132017, 2017-09-08T18:00:00Z, U, HU, 21.1, -96.2, 90.0, 972.0, 50.0, 60.0, 60.0, 50.0, 20.0, 40.0, 30.0, 20.0, 15.0, 20.0, 15.0, 15.0
AL162011, 2011-10-02T06:00:00Z, U, HU, 35.0, -62.1, 110.0, 945.0, 180.0, 180.0, 80.0, 90.0, 60.0, 60.0, 40.0, 40.0, 30.0, 30.0, 20.0, 20.0
AL092010, 2010-09-03T18:00:00Z, U, LO, 15.0, -42.0, 25.0, 1008.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092004, 2004-09-08T12:00:00Z, U, HU, 12.6, -65.5, 120.0, 955.0, 140.0, 125.0, 50.0, 140.0, 100.0, 75.0, 35.0, 100.0, 60.0, 20.0, 20.0, 60.0
AL082005, 2005-08-09T12:00:00Z, U, EX, 42.3, -41.1, 50.0, 995.0, 100.0, 120.0, 100.0, 100.0, 25.0, 25.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0
AL122016, 2016-09-20T12:00:00Z, U, TS, 20.0, -53.7, 35.0, 1006.0, 120.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL052014, 2014-09-04T00:00:00Z, U, LO, 21.6, -101.0, 15.0, 1002.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112011, 2011-08-29T00:00:00Z, U, LO, 34.2, -65.6, 40.0, 1007.0, 45.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL072006, 2006-09-18T18:00:00Z, U, EX, 63.0, -31.4, 50.0, 979.0, 420.0, 0.0, 0.0, 420.0, 300.0, 0.0, 0.0, 300.0, 0.0, 0.0, 0.0, 0.0
AL082012, 2012-08-15T18:00:00Z, U, TD, 29.1, -55.1, 30.0, 1012.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL172005, 2005-09-21T18:00:00Z, U, TS, 20.8, -56.9, 40.0, 1001.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122004, 2004-09-27T12:00:00Z, U, EX, 65.0, 10.5, 40.0, 986.0, 0.0, 180.0, 180.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112012, 2012-08-31T18:00:00Z, U, HU, 31.7, -50.6, 80.0, 980.0, 60.0, 50.0, 40.0, 50.0, 30.0, 30.0, 20.0, 30.0, 15.0, 15.0, 10.0, 15.0
AL072009, 2009-09-18T00:00:00Z, U, LO, 24.9, -63.2, 25.0, 1012.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL132004, 2004-09-22T06:00:00Z, U, TS, 14.4, -40.6, 50.0, 997.0, 50.0, 50.0, 30.0, 50.0, 20.0, 20.0, 20.0, 20.0, 0.0, 0.0, 0.0, 0.0
