ID,Name,DateTime,Record,Status,Lat,Lon,Wind,Pressure,NE_34kt,SE_34kt,SW_34kt,NW_34kt,NE_50kt,SE_50kt,SW_50kt,NW_50kt,NE_64kt,SE_64kt,SW_64kt,NW_64kt
AL012004,ALEX,2004-07-31T18:00:00Z,U,TD,30.3,-78.3,25,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL012004,ALEX,2004-08-01T00:00:00Z,U,TD,31.0,-78.8,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
AL012004,ALEX,2004-08-01T06:00:00Z,U,TD,31.5,-79.0,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
AL012004,ALEX,2004-08-01T12:00:00Z,U,TD,31.6,-79.1,30,1009,0,0,0,0,0,0,0,0,0,0,0,0
AL012004,ALEX,2004-08-01T18:00:00Z,U,TS,31.6,-79.2,35,1009,0,50,50,0,0,0,0,0,0,0,0,0
AL012004,ALEX,2004-08-02T00:00:00Z,U,TS,31.5,-79.3,35,1007,0,50,50,0,0,0,0,0,0,0,0,0
AL012004,ALEX,2004-08-02T06:00:00Z,U,TS,31.4,-79.4,40,1005,60,90,90,0,0,0,0,0,0,0,0,0
AL012004,ALEX,2004-08-02T12:00:00Z,U,TS,31.3,-79.0,50,992,75,90,60,20,30,30,0,0,0,0,0,0
AL012004,ALEX,2004-08-02T18:00:00Z,U,TS,31.8,-78.7,50,993,75,90,50,30,30,30,20,20,0,0,0,0
AL012004,ALEX,2004-08-03T00:00:00Z,U,TS,32.4,-78.2,60,987,75,90,50,30,30,30,20,20,0,0,0,0
AL012004,ALEX,2004-08-03T06:00:00Z,U,HU,33.0,-77.4,70,983,75,90,50,40,30,30,30,20,20,20,20,0
AL012004,ALEX,2004-08-03T12:00:00Z,U,HU,34.2,-76.4,85,974,75,90,50,40,30,50,30,20,20,20,20,0
AL012004,ALEX,2004-08-03T18:00:00Z,U,HU,35.3,-75.2,85,972,90,90,75,50,60,50,30,30,30,30,20,15
AL012004,ALEX,2004-08-04T00:00:00Z,U,HU,36.0,-73.7,80,974,80,100,75,50,40,50,40,20,15,40,30,15
AL012004,ALEX,2004-08-04T06:00:00Z,U,HU,36.8,-72.1,80,973,60,120,75,75,40,75,50,50,20,50,30,15
AL012004,ALEX,2004-08-04T12:00:00Z,U,HU,37.3,-70.2,85,973,60,120,75,75,40,75,50,50,20,50,30,15
AL012004,ALEX,2004-08-04T18:00:00Z,U,HU,37.8,-68.3,95,965,90,150,125,75,50,75,50,50,25,50,25,15
AL012004,ALEX,2004-08-05T00:00:00Z,U,HU,38.5,-66.0,105,957,80,150,125,75,50,80,60,50,30,50,30,20
AL012004,ALEX,2004-08-05T06:00:00Z,U,HU,39.5,-63.1,105,957,80,225,200,75,50,80,60,50,30,50,30,20
AL012004,ALEX,2004-08-05T12:00:00Z,U,HU,40.8,-59.6,100,962,80,300,300,75,50,80,60,50,30,50,30,20
AL012004,ALEX,2004-08-05T18:00:00Z,U,HU,42.7,-55.0,90,970,75,300,300,75,50,75,50,30,25,50,25,0
AL012004,ALEX,2004-08-06T00:00:00Z,U,HU,44.5,-49.3,75,978,75,300,300,75,50,75,50,30,25,50,25,0
AL012004,ALEX,2004-08-06T06:00:00Z,U,HU,46.1,-44.2,65,984,75,300,300,75,50,75,50,30,25,50,25,0
AL012004,ALEX,2004-08-06T12:00:00Z,U,TS,47.0,-37.5,50,987,75,300,300,75,50,75,50,30,0,0,0,0
AL012004,ALEX,2004-08-06T18:00:00Z,U,EX,47.4,-32.7,30,992,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-03T12:00:00Z,U,TD,12.9,-53.6,25,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-03T18:00:00Z,U,TD,13.2,-55.4,25,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-04T00:00:00Z,U,TD,13.5,-57.4,30,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-04T06:00:00Z,U,TD,13.6,-59.5,30,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-04T12:00:00Z,U,TD,13.6,-61.6,30,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-04T18:00:00Z,U,WV,13.7,-63.7,30,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-05T00:00:00Z,U,WV,14.0,-65.7,25,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-05T06:00:00Z,U,WV,14.9,-67.7,25,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-05T12:00:00Z,U,WV,16.0,-69.7,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-05T18:00:00Z,U,WV,16.5,-71.5,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-06T00:00:00Z,U,WV,17.0,-73.0,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-06T06:00:00Z,U,WV,17.1,-74.6,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-06T12:00:00Z,U,WV,17.2,-76.2,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-06T18:00:00Z,U,WV,17.0,-77.2,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-07T00:00:00Z,U,WV,17.1,-78.2,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
AL022004,BONNIE,2004-08-07T06:00:00Z,U,WV,17.4,-79.2,20,1013,0,0,0,0,0,0,0,0,0,0,0,0
