Time,Analyse.Calculations.ElapsedTimeToCreateLayer,Analyse.Calculations.Heat.TotalCoolTime,Analyse.Calculations.Heat.TotalHeatTime,Analyse.Calculations.Melt[1].ContourLength,Analyse.Calculations.Melt[1].ContourTime,Analyse.Calculations.Melt[1].ScanlengthHistogram[0],Analyse.Calculations.Melt[1].ScanlengthHistogram[10],Analyse.Calculations.Melt[1].ScanlengthHistogram[11],Analyse.Calculations.Melt[1].ScanlengthHistogram[12],Analyse.Calculations.Melt[1].ScanlengthHistogram[13],Analyse.Calculations.Melt[1].ScanlengthHistogram[14],Analyse.Calculations.Melt[1].ScanlengthHistogram[15],Analyse.Calculations.Melt[1].ScanlengthHistogram[16],Analyse.Calculations.Melt[1].ScanlengthHistogram[1],Analyse.Calculations.Melt[1].ScanlengthHistogram[2],Analyse.Calculations.Melt[1].ScanlengthHistogram[3],Analyse.Calculations.Melt[1].ScanlengthHistogram[4],Analyse.Calculations.Melt[1].ScanlengthHistogram[5],Analyse.Calculations.Melt[1].ScanlengthHistogram[6],Analyse.Calculations.Melt[1].ScanlengthHistogram[7],Analyse.Calculations.Melt[1].ScanlengthHistogram[8],Analyse.Calculations.Melt[1].ScanlengthHistogram[9],Analyse.Calculations.Melt[1].SquareBeginSpeed,Analyse.Calculations.Melt[1].SquaresTime,Analyse.Calculations.Preheating[0].ApproximatedTotalPreheatTime,Analyse.Calculations.Preheating[0].Preheat1Area,Analyse.Calculations.Preheating[0].Preheat1Time,Analyse.Calculations.Preheating[0].Preheat2Area,Analyse.Calculations.Preheating[0].Preheat2Time,Analyse.Calculations.Preheating[0].Preheat3Area,Analyse.Calculations.Wafer[2].WaferTime,Builds.State.CurrentBuild.CurrentHeight,Number pores,ratio surface STL / POR,hist_diameter_1pix,hist_diameter_2pix,hist_diameter_3pix,hist_diameter_4pix,hist_diameter_5pix,hist_diameter_6pix,hist_diameter_7pix,hist_diameter_8pix,hist_diameter_9pix,hist_diameter_10pix,hist_diameter_11pix,hist_diameter_12pix,hist_diameter_13pix,hist_diameter_14pix
1.47E+12,1.130002,0,0,767.1763,0.9815185,5,0,0,0,0,0,0,0,6,34,29,0,0,0,0,0,0,18073.58,1.140806,8.017572,9292.982,3.856,9253.82,3.840055,39.16211,0,0.05,740,0.0491182,132,62,41,31,23,8,6,7,3,10,5,3,4,74
1.47E+12,6.650009,0,0,9720.481,12.43751,37,1,0,1,0,0,0,0,27,47,41,36,48,119,28,89,422,45473.68,16.4407,20.01778,43210.21,13.50323,38277.63,6.313147,4932.59,4.087802,0.05,740,0.0491182,132,62,41,31,23,8,6,7,3,10,5,3,4,74
1.47E+12,2.380003,0,0,9737.066,12.45962,87,129,0,0,0,0,0,0,64,125,38,108,99,91,53,56,226,45473.68,19.08915,20.02377,43249.3,13.51534,38251.51,6.308838,4997.789,4.088132,0.05,740,0.0491182,132,62,41,31,23,8,6,7,3,10,5,3,4,74
1.47E+12,7.04001,0,0,9720.481,12.43751,37,1,0,1,0,0,0,0,27,47,41,36,48,119,28,89,422,45473.68,16.4407,20.01778,43210.21,13.50323,38277.63,6.313147,4932.59,4.087802,0.05,740,0.0491182,132,62,41,31,23,8,6,7,3,10,5,3,4,74
1.47E+12,7.04001,0,0,9737.066,12.45962,87,129,0,0,0,0,0,0,64,125,38,108,99,91,53,56,226,45473.68,19.08915,20.02377,43249.3,13.51534,38251.51,6.308838,4997.789,4.088132,0.05,740,0.0491182,132,62,41,31,23,8,6,7,3,10,5,3,4,74
1.47E+12,2.320003,0,0,9737.066,12.45962,87,129,0,0,0,0,0,0,64,125,38,108,99,91,53,56,226,45473.68,19.08915,20.02377,43249.3,13.51534,38251.51,6.308838,4997.789,4.088132,0.05,740,0.0491182,132,62,41,31,23,8,6,7,3,10,5,3,4,74
1.47E+12,2.320003,0,0,9720.481,12.43751,37,1,0,1,0,0,0,0,27,47,41,36,48,119,28,89,422,45473.68,16.4407,20.01778,43210.21,13.50323,38277.63,6.313147,4932.59,4.087802,0.05,740,0.0491182,132,62,41,31,23,8,6,7,3,10,5,3,4,74
1.47E+12,2.160003,0,0,9720.481,12.43751,37,1,0,1,0,0,0,0,27,47,41,36,48,119,28,89,422,45473.68,16.4407,20.01778,43210.21,13.50323,38277.63,6.313147,4932.59,4.087802,0.05,740,0.0491182,132,62,41,31,23,8,6,7,3,10,5,3,4,74
1.47E+12,2.270003,0,0,9737.066,12.45962,87,129,0,0,0,0,0,0,64,125,38,108,99,91,53,56,226,45473.68,19.08915,20.02377,43249.3,13.51534,38251.51,6.308838,4997.789,4.088132,0.05,740,0.0491182,132,62,41,31,23,8,6,7,3,10,5,3,4,74
1.47E+12,2.270003,0,0,9748.955,12.47547,51,117,0,1,0,0,0,0,47,91,197,83,49,70,68,42,240,45473.68,18.73317,20.02374,43210.21,13.50323,38281.16,6.313727,4929.059,4.088326,0.05,740,0.0491182,132,62,41,31,23,8,6,7,3,10,5,3,4,74
