OBS., TOWN#, TRACT, LON, LAT, MEDV, CMEDV, CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT
1902, 1, 2021, -70.950000, 42.287500, 21.6, 21.6, 0.02731, 0.0, 7.07, 0, 0.469, 6.421, 78.9, 4.9671, 2, 242, 17.8, 396.90, 9.14
1903, 1, 2022, -70.936000, 42.283000, 34.7, 34.7, 0.02729, 0.0, 7.07, 0, 0.469, 7.185, 61.1, 4.9671, 2, 242, 17.8, 392.83, 4.03
1904, 2, 2031, -70.928000, 42.293000, 33.4, 33.4, 0.03237, 0.0, 2.18, 0, 0.458, 6.998, 45.8, 6.0622, 3, 222, 18.7, 394.63, 2.94
1905, 2, 2032, -70.922000, 42.298000, 36.2, 36.2, 0.06905, 0.0, 2.18, 0, 0.458, 7.147, 54.2, 6.0622, 3, 222, 18.7, 396.90, 5.33
1906, 2, 2033, -70.916500, 42.304000, 28.7, 28.7, 0.02985, 0.0, 2.18, 0, 0.458, 6.430, 58.7, 6.0622, 3, 222, 18.7, 394.12, 5.21
1907, 3, 2041, -70.936000, 42.297000, 22.9, 22.9, 0.08829, 12.5, 7.87, 0, 0.524, 6.012, 66.6, 5.5605, 5, 311, 15.2, 395.60, 12.43
1908, 3, 2042, -70.937500, 42.310000, 27.1, 22.1, 0.14455, 12.5, 7.87, 0, 0.524, 6.172, 96.1, 5.9505, 5, 311, 15.2, 396.90, 19.15
1909, 3, 2043, -70.933000, 42.312000, 16.5, 16.5, 0.21124, 12.5, 7.87, 0, 0.524, 5.631, 100.0, 6.0821, 5, 311, 15.2, 386.63, 29.93
1910, 3, 2044, -70.929000, 42.316000, 18.9, 18.9, 0.17004, 12.5, 7.87, 0, 0.524, 6.004, 85.9, 6.5921, 5, 311, 15.2, 386.71, 17.10
1911, 3, 2045, -70.935000, 42.316000, 15.0, 15.0, 0.22489, 12.5, 7.87, 0, 0.524, 6.377, 94.3, 6.3467, 5, 311, 15.2, 392.52, 20.45
1912, 3, 2046, -70.944000, 42.317000, 18.9, 18.9, 0.11747, 12.5, 7.87, 0, 0.524, 6.009, 82.9, 6.2267, 5, 311, 15.2, 396.90, 13.27
1913, 3, 2047, -70.951000, 42.306000, 21.7, 21.7, 0.09378, 12.5, 7.87, 0, 0.524, 5.889, 39.0, 5.4509, 5, 311, 15.2, 390.50, 15.71
1914, 4, 2051, -70.964500, 42.292000, 20.4, 20.4, 0.62976, 0.0, 8.14, 0, 0.538, 5.949, 61.8, 4.7075, 4, 307, 21.0, 396.90, 8.26
1915, 4, 2052, -70.972000, 42.287000, 18.2, 18.2, 0.63796, 0.0, 8.14, 0, 0.538, 6.096, 84.5, 4.4619, 4, 307, 21.0, 380.02, 10.26
1916, 4, 2053, -70.976500, 42.294000, 19.9, 19.9, 0.62739, 0.0, 8.14, 0, 0.538, 5.834, 56.5, 4.4986, 4, 307, 21.0, 395.62, 8.47
1917, 4, 2054, -70.987000, 42.298500, 23.1, 23.1, 1.05393, 0.0, 8.14, 0, 0.538, 5.935, 29.3, 4.4986, 4, 307, 21.0, 386.85, 6.58
1918, 4, 2055, -70.978000, 42.285000, 17.5, 17.5, 0.78420, 0.0, 8.14, 0, 0.538, 5.990, 81.7, 4.2579, 4, 307, 21.0, 386.75, 14.67
1919, 4, 2056, -70.992500, 42.282500, 20.2, 20.2, 0.80271, 0.0, 8.14, 0, 0.538, 5.456, 36.6, 3.7965, 4, 307, 21.0, 288.99, 11.69
1920, 4, 2057, -70.988000, 42.277600, 18.2, 18.2, 0.72580, 0.0, 8.14, 0, 0.538, 5.727, 69.5, 3.7965, 4, 307, 21.0, 390.95, 11.28
1921, 4, 2058, -70.983500, 42.277000, 13.6, 13.6, 1.25179, 0.0, 8.14, 0, 0.538, 5.570, 98.1, 3.7979, 4, 307, 21.0, 376.57, 21.02
1922, 4, 2059, -70.982000, 42.281000, 19.6, 19.6, 0.85204, 0.0, 8.14, 0, 0.538, 5.965, 89.2, 4.0123, 4, 307, 21.0, 392.53, 13.83
1923, 4, 2060, -70.977500, 42.279000, 15.2, 15.2, 1.23247, 0.0, 8.14, 0, 0.538, 6.142, 91.7, 3.9769, 4, 307, 21.0, 396.90, 18.72
1924, 4, 2061, -70.973000, 42.279000, 14.5, 14.5, 0.98843, 0.0, 8.14, 0, 0.538, 5.813, 100.0, 4.0952, 4, 307, 21.0, 394.54, 19.88
1925, 4, 2062, -70.969300, 42.281600, 15.6, 15.6, 0.75026, 0.0, 8.14, 0, 0.538, 5.924, 94.1, 4.3996, 4, 307, 21.0, 394.33, 16.30
1926, 4, 2063, -70.964000, 42.284000, 13.9, 13.9, 0.84054, 0.0, 8.14, 0, 0.538, 5.599, 85.7, 4.4546, 4, 307, 21.0, 303.42, 16.51
1927, 4, 2064, -70.959700, 42.287000, 16.6, 16.6, 0.67191, 0.0, 8.14, 0, 0.538, 5.813, 90.3, 4.6820, 4, 307, 21.0, 376.88, 14.81
1928, 4, 2065, -70.959700, 42.282500, 14.8, 14.8, 0.95577, 0.0, 8.14, 0, 0.538, 6.047, 88.8, 4.4534, 4, 307, 21.0, 306.38, 17.28
1929, 4, 2066, -70.957000, 42.280000, 18.4, 18.4, 0.77299, 0.0, 8.14, 0, 0.538, 6.495, 94.4, 4.4547, 4, 307, 21.0, 387.94, 12.80
1930, 4, 2067, -70.951000, 42.278000, 21.0, 21.0, 1.00245, 0.0, 8.14, 0, 0.538, 6.674, 87.3, 4.2390, 4, 307, 21.0, 380.23, 11.98
1931, 4, 2068, -70.967000, 42.279000, 12.7, 12.7, 1.13081, 0.0, 8.14, 0, 0.538, 5.713, 94.1, 4.2330, 4, 307, 21.0, 360.17, 22.60
1932, 4, 2069, -70.964000, 42.276500, 14.5, 14.5, 1.35472, 0.0, 8.14, 0, 0.538, 6.072, 100.0, 4.1750, 4, 307, 21.0, 376.73, 13.04
1933, 4, 2070, -70.972000, 42.276500, 13.2, 13.2, 1.38799, 0.0, 8.14, 0, 0.538, 5.950, 82.0, 3.9900, 4, 307, 21.0, 232.60, 27.71
1934, 4, 2071, -70.979500, 42.276000, 13.1, 13.1, 1.15172, 0.0, 8.14, 0, 0.538, 5.701, 95.0, 3.7872, 4, 307, 21.0, 358.77, 18.35
1935, 4, 2072, -70.977500, 42.272000, 13.5, 13.5, 1.61282, 0.0, 8.14, 0, 0.538, 6.096, 96.9, 3.7598, 4, 307, 21.0, 248.31, 20.34
1936, 5, 2081, -71.000000, 42.270000, 18.9, 18.9, 0.06417, 0.0, 5.96, 0, 0.499, 5.933, 68.2, 3.3603, 5, 279, 19.2, 396.90, 9.68
1937, 5, 2082, -71.008000, 42.274500, 20.0, 20.0, 0.09744, 0.0, 5.96, 0, 0.499, 5.841, 61.4, 3.3779, 5, 279, 19.2, 377.56, 11.41
1938, 5, 2083, -71.004000, 42.286500, 21.0, 21.0, 0.08014, 0.0, 5.96, 0, 0.499, 5.850, 41.5, 3.9342, 5, 279, 19.2, 396.90, 8.77
1939, 5, 2084, -71.020000, 42.287500, 24.7, 24.2, 0.17505, 0.0, 5.96, 0, 0.499, 5.966, 30.2, 3.8473, 5, 279, 19.2, 393.43, 10.13
1940, 6, 2091, -71.013000, 42.313000, 30.8, 30.8, 0.02763, 75.0, 2.95, 0, 0.428, 6.595, 21.8, 5.4011, 3, 252, 18.3, 395.63, 4.32
1941, 6, 2092, -71.030000, 42.324000, 34.9, 34.9, 0.03359, 75.0, 2.95, 0, 0.428, 7.024, 15.8, 5.4011, 3, 252, 18.3, 395.62, 1.98
1942, 7, 2101, -71.004000, 42.335000, 26.6, 26.6, 0.12744, 0.0, 6.91, 0, 0.448, 6.770, 2.9, 5.7209, 3, 233, 17.9, 385.41, 4.84
