LAT, LON, OBS., TOWN#, TRACT, MEDV, CMEDV, CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT
42.287500, -70.950000, 1902, 1, 2021, 21.6, 21.6, 0.02731, 0.0, 7.07, 0, 0.469, 6.421, 78.9, 4.9671, 2, 242, 17.8, 396.90, 9.14
42.283000, -70.936000, 1903, 1, 2022, 34.7, 34.7, 0.02729, 0.0, 7.07, 0, 0.469, 7.185, 61.1, 4.9671, 2, 242, 17.8, 392.83, 4.03
42.293000, -70.928000, 1904, 2, 2031, 33.4, 33.4, 0.03237, 0.0, 2.18, 0, 0.458, 6.998, 45.8, 6.0622, 3, 222, 18.7, 394.63, 2.94
42.298000, -70.922000, 1905, 2, 2032, 36.2, 36.2, 0.06905, 0.0, 2.18, 0, 0.458, 7.147, 54.2, 6.0622, 3, 222, 18.7, 396.90, 5.33
42.304000, -70.916500, 1906, 2, 2033, 28.7, 28.7, 0.02985, 0.0, 2.18, 0, 0.458, 6.430, 58.7, 6.0622, 3, 222, 18.7, 394.12, 5.21
42.297000, -70.936000, 1907, 3, 2041, 22.9, 22.9, 0.08829, 12.5, 7.87, 0, 0.524, 6.012, 66.6, 5.5605, 5, 311, 15.2, 395.60, 12.43
42.310000, -70.937500, 1908, 3, 2042, 27.1, 22.1, 0.14455, 12.5, 7.87, 0, 0.524, 6.172, 96.1, 5.9505, 5, 311, 15.2, 396.90, 19.15
42.312000, -70.933000, 1909, 3, 2043, 16.5, 16.5, 0.21124, 12.5, 7.87, 0, 0.524, 5.631, 100.0, 6.0821, 5, 311, 15.2, 386.63, 29.93
42.316000, -70.929000, 1910, 3, 2044, 18.9, 18.9, 0.17004, 12.5, 7.87, 0, 0.524, 6.004, 85.9, 6.5921, 5, 311, 15.2, 386.71, 17.10
42.316000, -70.935000, 1911, 3, 2045, 15.0, 15.0, 0.22489, 12.5, 7.87, 0, 0.524, 6.377, 94.3, 6.3467, 5, 311, 15.2, 392.52, 20.45
42.317000, -70.944000, 1912, 3, 2046, 18.9, 18.9, 0.11747, 12.5, 7.87, 0, 0.524, 6.009, 82.9, 6.2267, 5, 311, 15.2, 396.90, 13.27
42.306000, -70.951000, 1913, 3, 2047, 21.7, 21.7, 0.09378, 12.5, 7.87, 0, 0.524, 5.889, 39.0, 5.4509, 5, 311, 15.2, 390.50, 15.71
42.292000, -70.964500, 1914, 4, 2051, 20.4, 20.4, 0.62976, 0.0, 8.14, 0, 0.538, 5.949, 61.8, 4.7075, 4, 307, 21.0, 396.90, 8.26
42.287000, -70.972000, 1915, 4, 2052, 18.2, 18.2, 0.63796, 0.0, 8.14, 0, 0.538, 6.096, 84.5, 4.4619, 4, 307, 21.0, 380.02, 10.26
42.294000, -70.976500, 1916, 4, 2053, 19.9, 19.9, 0.62739, 0.0, 8.14, 0, 0.538, 5.834, 56.5, 4.4986, 4, 307, 21.0, 395.62, 8.47
42.298500, -70.987000, 1917, 4, 2054, 23.1, 23.1, 1.05393, 0.0, 8.14, 0, 0.538, 5.935, 29.3, 4.4986, 4, 307, 21.0, 386.85, 6.58
42.285000, -70.978000, 1918, 4, 2055, 17.5, 17.5, 0.78420, 0.0, 8.14, 0, 0.538, 5.990, 81.7, 4.2579, 4, 307, 21.0, 386.75, 14.67
42.282500, -70.992500, 1919, 4, 2056, 20.2, 20.2, 0.80271, 0.0, 8.14, 0, 0.538, 5.456, 36.6, 3.7965, 4, 307, 21.0, 288.99, 11.69
