dataset, year, month, lat, lon, AGNPP, AR, BGNPP, BTRAN
1.0, 152.0, 2.0, 2.25, 128.25, 3.667446E-5, 1.17868956E-4, 1.8806764E-5, 1.0
1.0, 152.0, 2.0, 1.75, 127.75, 3.6888017E-5, 1.18498756E-4, 1.914843E-5, 1.0
1.0, 152.0, 2.0, 1.25, 127.75, 3.6631314E-5, 1.1952031E-4, 1.9250112E-5, 1.0
1.0, 152.0, 2.0, 1.25, 128.25, 3.707828E-5, 1.2185974E-4, 1.9013027E-5, 1.0
1.0, 152.0, 2.0, 1.25, 128.75, 3.686039E-5, 1.21121724E-4, 1.890782E-5, 1.0
1.0, 152.0, 2.0, 0.75, 127.75, 3.6645222E-5, 1.2118234E-4, 1.879553E-5, 1.0
1.0, 152.0, 2.0, 0.75, 128.25, 3.70931E-5, 1.2287652E-4, 1.9023437E-5, 1.0
1.0, 152.0, 2.0, 0.25, 127.75, 3.723659E-5, 1.20052704E-4, 1.9101895E-5, 1.0
1.0, 152.0, 2.0, -0.25, 127.75, 3.639708E-5, 1.1792838E-4, 1.8679184E-5, 1.0
1.0, 152.0, 2.0, -0.25, 130.75, 3.516218E-5, 1.2360163E-4, 1.8039076E-5, 1.0
1.0, 152.0, 2.0, -0.75, 131.75, 3.6336314E-5, 1.2326501E-4, 1.8638062E-5, 1.0
1.0, 152.0, 2.0, -0.75, 132.25, 3.6648675E-5, 1.2296418E-4, 1.8796805E-5, 1.0
1.0, 152.0, 2.0, -0.75, 132.75, 3.738218E-5, 1.2266694E-4, 1.9168681E-5, 1.0
1.0, 152.0, 2.0, -0.75, 133.25, 3.726294E-5, 1.2232013E-4, 1.9108076E-5, 1.0
1.0, 152.0, 2.0, -0.75, 133.75, 3.7376358E-5, 1.1673138E-4, 1.9166191E-5, 1.0
1.0, 152.0, 2.0, -0.75, 135.75, 3.4463348E-5, 1.19567994E-4, 1.7684632E-5, 1.0
1.0, 152.0, 2.0, -1.25, 131.25, 3.468649E-5, 1.2007707E-4, 1.7800914E-5, 1.0
1.0, 152.0, 2.0, -1.25, 131.75, 3.40433E-5, 1.2045454E-4, 1.7475271E-5, 1.0
1.0, 152.0, 2.0, -1.25, 132.25, 3.6864265E-5, 1.18963275E-4, 1.890773E-5, 1.0
1.0, 152.0, 2.0, -1.25, 132.75, 3.757595E-5, 1.1667017E-4, 1.9268504E-5, 1.0
1.0, 152.0, 2.0, -1.25, 133.25, 3.7586586E-5, 1.17395975E-4, 1.9273655E-5, 1.0
1.0, 152.0, 2.0, -1.25, 133.75, 3.5589026E-5, 1.1847144E-4, 1.8264956E-5, 1.0
1.0, 152.0, 2.0, -1.75, 127.75, 4.139712E-5, 1.20611876E-4, 2.123135E-5, 1.0
1.0, 152.0, 2.0, -1.75, 130.25, 3.63795E-5, 1.2342888E-4, 1.8660494E-5, 1.0
1.0, 152.0, 2.0, -1.75, 132.25, 3.525004E-5, 1.1904259E-4, 1.8089673E-5, 1.0
1.0, 152.0, 2.0, -1.75, 132.75, 3.677021E-5, 1.169297E-4, 1.8861352E-5, 1.0
1.0, 152.0, 2.0, -1.75, 133.25, 3.761324E-5, 1.14056E-4, 1.9285992E-5, 1.0
1.0, 152.0, 2.0, -1.75, 133.75, 3.8579223E-5, 1.0841956E-4, 1.9774936E-5, 1.0
