ID,Length,Width,W/L,MaxHeight,Petal I,Pores 1,Pore density petal 1,AM - AS,PM-PP,PM-PS (g),L PP,W PP,L PS (g),L PS,W PS (g),W PS,Mouth L,Mouth W
1,51.6,42.5,0.823643411,22.7,17.1,45,0.872093023,24.8,11.4,23.6,2.2,2.4,11.3,5,20.6,13.2,,
2,56.8,49.3,0.867957746,25.4,19.2,47,0.827464789,26.7,11.8,28,2.3,2.5,10.7,4.8,19.4,13.8,,
3,45.9,38.5,0.838779956,22.8,17.1,41,0.893246187,23.2,7.8,21.7,2.2,2.7,9,4.3,17.5,12.6,,
4,44,37.8,0.859090909,19.5,15.5,37,0.840909091,22.1,8.8,18.5,3.2,3.5,9.7,5.2,17,10.1,,
5,44.9,37.7,0.839643653,21,16.7,39,0.868596882,21.4,10.7,21.2,2.9,3.1,9.7,5.3,16.7,11.3,,6.6
6,37.7,31.6,0.838196286,18.4,13.7,38,1.00795756,18.7,6.8,17.3,2.4,2.5,8.1,3.8,14.1,7.9,3.2,4.5
7,38.3,32.3,0.843342037,19.8,11.5,33,0.861618799,18.2,9.7,18.2,1.9,2,6.1,3.5,16.2,9.7,3.4,5.1
8,44.6,37.8,0.847533632,19.3,15.9,42,0.941704036,22.9,7.8,20.8,3.1,2.5,10.5,4.1,16.8,11.3,3.8,7.5
9,42.1,35.5,0.843230404,19,15.3,48,1.140142518,19.7,8.2,18.1,2.4,2.5,9.7,5.1,14,10.4,,6.6
10,41.9,34.5,0.823389021,20.5,15,37,0.883054893,19.7,6.2,18.9,2.8,3,10.5,5.6,17.2,11.5,,
11,42.3,36.8,0.869976359,20.3,13,39,0.921985816,21.6,9.1,18.7,2.6,2.8,11.9,4.7,19.1,13,3.8,5.6
12,36.9,31.2,0.845528455,18.7,12.7,31,0.840108401,17.4,6.4,16.7,2.5,2.2,8.2,3.3,15.6,11.6,,
13,35.6,30.5,0.856741573,17,11.7,32,0.898876404,17.8,6.7,16.3,2.4,2.5,8.9,3.7,16,3.6,,
14,34,29.9,0.879411765,16.9,11.9,34,1,17.2,6.4,16.3,2.8,3.1,10.5,4.1,17.9,11.7,3.1,5.8
15,35.5,30.4,0.856338028,16.8,11.8,33,0.929577465,16.9,6.5,16,2.2,2.1,9.3,3.9,14.2,10.5,,
16,33.3,27.8,0.834834835,15.2,10.7,31,0.930930931,16.2,5.5,15.4,2.03,2.3,8.3,4.5,13.4,8.4,4.6,6.4
17,35.5,30.3,0.853521127,15.7,10.1,32,0.901408451,18.5,8,17,1.3,1.6,7.3,3.2,13.2,9.3,,
18,34.1,28.9,0.847507331,17.2,10.6,33,0.967741935,16.8,7.5,15.9,2.4,2.6,7,4,12.7,10.3,3.1,5.8
19,35.6,31.8,0.893258427,15.1,11.2,33,0.926966292,17.2,7.6,17.4,1.8,1.9,6.1,3.6,12.6,8.9,,
20,32.3,26.9,0.832817337,14.6,10.5,34,1.052631579,16,6.9,13.4,2.1,2,7.5,3.7,13,9.3,3.1,3.2
21,29.5,24.3,0.823728814,13.9,9.2,31,1.050847458,14.9,4.6,12,1.8,1.9,6.8,3.6,11.6,8.2,,
22,35.5,29.9,0.842253521,16.9,13.4,37,1.042253521,17.4,6.3,15.9,2.1,2.1,7.5,4.6,15.3,11.7,,
23,29.3,24,0.819112628,13.5,9.4,33,1.126279863,14.6,5.3,13.5,1.7,1.5,6,3.4,11.5,8.1,,
24,31.8,26.2,0.823899371,15.9,9.9,31,0.974842767,16.4,5,15,2.3,2,8,3.4,12.5,9,,
25,28.5,22.9,0.803508772,13.1,8.7,29,1.01754386,13.2,5.3,13.1,2,1.8,7.4,3.9,11.3,7.9,,
26,27.3,23,0.842490842,13.6,8.7,30,1.098901099,13,3.7,12.7,2.1,1.7,7.1,3.3,11.3,7.1,3,4.2
27,26.6,22.6,0.84962406,12.2,8.3,30,1.127819549,13.2,3.7,11.8,1.7,1.9,6.7,3.7,11,7.8,3.7,5.1
28,24,20.1,0.8375,11.4,6.9,25,1.041666667,11.4,4.4,10.9,1.4,1.2,6.1,2.7,10.3,7.3,,
29,20.9,17.8,0.851674641,10.5,5.6,23,1.100478469,10.6,4.5,9.8,1.5,1.5,4.7,2.8,9.5,6.1,,
30,22.3,19.2,0.860986547,9.5,6.6,25,1.121076233,10.7,4.2,9.7,1.1,1.2,4.9,2.7,8.3,5.7,2.4,3.6
31,40.9,34.7,0.848410758,19.2,15,43,1.051344743,19.4,9.2,18.2,2.2,2.2,8.1,4.52,16.4,11,3.8,5.4
32,38.4,31.8,0.828125,18.8,14.2,37,0.963541667,19.7,6.6,16.6,2.4,2.7,7.7,3.3,15.8,9.8,3.2,5.2
33,30.8,25.7,0.834415584,13.8,9.6,31,1.006493506,15.9,5.4,13.6,2,1.9,8.3,,12.6,,,
34,37.8,32.5,0.85978836,17.4,11.7,36,0.952380952,18.3,6.9,16.1,1.8,1.8,7.9,4,13.8,10,3.2,4.9
35,37,31.7,0.856756757,16.3,12.3,38,1.027027027,19,7.2,16.7,2.1,2,7.9,4.7,13.3,8.7,,
36,47.7,41.4,0.867924528,23.1,15.9,41,0.859538784,24.1,10.1,20.6,2.4,2.2,13.4,,23,,,
37,47.7,39,0.817610063,21.8,16,45,0.943396226,24,9.3,19.9,2.7,2.7,10,,18.6,,,
38,41.1,35.4,0.861313869,19.1,14.8,42,1.02189781,18.9,8.3,17.5,2.1,2.3,9.2,4.8,17.9,12.7,,
39,37.2,30.3,0.814516129,16.9,12.4,35,0.940860215,18.2,7.4,15.9,2.1,2.2,8.6,3.6,15.1,10.8,3.5,5.6
40,43.1,36.6,0.849187935,20.5,16.6,44,1.020881671,21.2,7.1,19.1,3,2.9,9.5,,16.4,,,
41,36,29.7,0.825,,10.5,32,0.888888889,17.8,,,,,,,,,,
42,44.5,37.4,0.840449438,19.9,15.2,43,0.966292135,21.6,,20.5,,,,,,,,
43,48.2,39.5,0.819502075,22.3,16.1,40,0.829875519,23.4,8.3,21.7,3.4,3,10.2,4.2,20,12.8,4.4,6.6
44,38.2,31.9,0.835078534,19.1,13.9,36,0.942408377,19.9,,18.9,,,8.8,4.2,16.7,10.8,4,6.6
45,38.8,33.4,0.860824742,18.1,14.6,37,0.953608247,18.8,8.2,18.47,2.7,2.6,8.3,,15.7,,,
46,24.9,21.1,0.847389558,12.4,6.6,26,1.044176707,12.7,5.6,11.6,1.4,1.4,5.3,2.9,11.8,7.3,2.4,3.7
47,40.5,33.7,0.832098765,18.8,12.3,37,0.913580247,19,5.6,19.1,2.2,2.5,8.2,3.7,15.5,11.5,3.3,5.2
48,29.8,25.9,0.869127517,13.9,9.7,32,1.073825503,14.5,6.6,14,2,1.7,7.2,3.8,13.2,8.8,,
49,29.9,25.5,0.852842809,14.6,10.4,31,1.036789298,14.4,6.8,13.9,1.8,1.8,6.4,2.4,14.3,4.9,2.4,4.9
50,31.8,26,0.817610063,15.5,11.4,34,1.06918239,15.2,6.8,14.8,1.8,1.9,7.6,4.1,15.2,10.5,3.2,5.2
51,34.6,28.4,0.820809249,15.7,10.9,,0,17.5,5.5,15.4,1.6,1.6,7.5,4.7,15.2,11,4,6.6
52,34.2,27.4,0.801169591,15,10.3,33,0.964912281,16.6,5.7,15.2,1.6,1.8,7.4,4.2,13.9,9.5,3.6,5
53,37.4,31.9,0.852941176,17,10.7,36,0.962566845,17.8,6.2,16.7,2.1,2.2,7.6,3.8,17.2,11.4,3.5,6
54,43.8,36.9,0.842465753,21.8,15.7,42,0.95890411,20.5,10.1,20,2.3,2.3,8.3,4.7,16.5,10.3,,
