Date,ActiveJobs,StageoutPilots,CSC108,Backfill,Unusable,CSC108Diff,CSC108Ratio
1450133756000,6.0,0.0,1621.0,6917.0,0.0,5296.0,0.18985711
1450134364000,5.0,0.0,1321.0,1461.0,0.0,140.0,0.47483826
1450134968000,4.0,0.0,1021.0,6903.0,0.0,5882.0,0.12884906
1450135569000,3.0,0.0,721.0,8426.0,0.0,7705.0,0.078823656
1450136177000,3.0,0.0,721.0,9153.0,0.0,8432.0,0.073020056
1450136783000,2.0,0.0,421.0,11616.0,0.0,11195.0,0.03497549
1450137384000,1.0,0.0,121.0,12194.0,0.0,12073.0,0.009825416
1450137993000,1.0,0.0,121.0,12804.0,0.0,12683.0,0.009361702
1450138604000,0.0,0.0,0.0,0.0,13830.0,0.0,NaN
1450139215000,0.0,0.0,0.0,19.0,11413.0,19.0,0.0
1450139816000,1.0,0.0,19.0,0.0,13116.0,-19.0,1.0
1450140418000,1.0,0.0,19.0,16.0,13286.0,-3.0,0.54285717
1450141019000,1.0,0.0,19.0,16.0,13286.0,-3.0,0.54285717
1450141628000,1.0,0.0,19.0,4.0,13834.0,-15.0,0.82608694
1450142229000,1.0,0.0,19.0,14.0,14562.0,-5.0,0.57575756
1450142839000,2.0,0.0,35.0,7.0,15696.0,-28.0,0.8333333
1450143440000,2.0,0.0,35.0,1.0,0.0,-34.0,0.9722222
1450144158000,2.0,0.0,35.0,10.0,0.0,-25.0,0.7777778
1450144782000,3.0,0.0,63.0,0.0,0.0,-63.0,1.0
1450145393000,5.0,0.0,96.0,0.0,0.0,-96.0,1.0
1450145994000,5.0,0.0,96.0,5.0,0.0,-91.0,0.95049506
1450146595000,7.0,0.0,151.0,0.0,0.0,-151.0,1.0
1450147197000,7.0,0.0,151.0,2.0,0.0,-149.0,0.9869281
1450147806000,6.0,0.0,135.0,2.0,0.0,-133.0,0.98540145
1450148413000,6.0,0.0,135.0,8.0,0.0,-127.0,0.9440559
1450149015000,6.0,0.0,135.0,7.0,0.0,-128.0,0.9507042
