Latitude, Longitude, ID, Year ID, Year, Month, Month Day, Year Day, Hour, Wind, Pressure, Category
8.8, -41.9, 1143, 1, 1990, 7, 22, 234, 6, 25.0, 1010.0, 0
8.9, -43.2, 1143, 1, 1990, 7, 22, 234, 12, 25.0, 1010.0, 0
9.3, -44.6, 1143, 1, 1990, 7, 22, 234, 18, 25.0, 1010.0, 0
9.3, -46.4, 1143, 1, 1990, 7, 23, 235, 0, 25.0, 1010.0, 0
9.2, -48.4, 1143, 1, 1990, 7, 23, 235, 6, 25.0, 1010.0, 0
9.2, -50.3, 1143, 1, 1990, 7, 23, 235, 12, 25.0, 1010.0, 0
9.4, -52.1, 1143, 1, 1990, 7, 23, 235, 18, 25.0, 1009.0, 0
9.7, -53.7, 1143, 1, 1990, 7, 24, 236, 0, 30.0, 1008.0, 0
10.1, -55.3, 1143, 1, 1990, 7, 24, 236, 6, 30.0, 1007.0, 0
10.5, -56.8, 1143, 1, 1990, 7, 24, 236, 12, 35.0, 1006.0, 0
10.8, -58.5, 1143, 1, 1990, 7, 24, 236, 18, 35.0, 1005.0, 0
11.1, -60.0, 1143, 1, 1990, 7, 25, 237, 0, 40.0, 1004.0, 0
11.7, -61.3, 1143, 1, 1990, 7, 25, 237, 6, 45.0, 1003.0, 0
12.4, -62.5, 1143, 1, 1990, 7, 25, 237, 12, 50.0, 1001.0, 0
13.1, -63.7, 1143, 1, 1990, 7, 25, 237, 18, 60.0, 995.0, 0
13.7, -65.0, 1143, 1, 1990, 7, 26, 238, 0, 60.0, 997.0, 0
14.2, -66.4, 1143, 1, 1990, 7, 26, 238, 6, 50.0, 1000.0, 0
14.8, -67.9, 1143, 1, 1990, 7, 26, 238, 12, 45.0, 1002.0, 0
15.6, -69.8, 1143, 1, 1990, 7, 26, 238, 18, 40.0, 1007.0, 0
16.2, -71.8, 1143, 1, 1990, 7, 27, 239, 0, 35.0, 1009.0, 0
16.6, -73.8, 1143, 1, 1990, 7, 27, 239, 6, 30.0, 1010.0, 0
