Latitude, Longitude, ID, Year ID, Year, Month, Month Day, Year Day, Hour, Wind, Pressure, Category
16.9, -84.0, 1326, 1, 2005, 6, 8, 189, 18, 25.0, 1004.0, 0
17.4, -83.9, 1326, 1, 2005, 6, 9, 190, 0, 30.0, 1003.0, 0
18.2, -83.9, 1326, 1, 2005, 6, 9, 190, 6, 35.0, 1003.0, 0
19.0, -84.0, 1326, 1, 2005, 6, 9, 190, 12, 35.0, 1002.0, 0
19.7, -84.1, 1326, 1, 2005, 6, 9, 190, 18, 35.0, 1002.0, 0
20.4, -84.2, 1326, 1, 2005, 6, 10, 191, 0, 40.0, 1001.0, 0
21.2, -84.4, 1326, 1, 2005, 6, 10, 191, 6, 45.0, 1000.0, 0
23.0, -84.7, 1326, 1, 2005, 6, 10, 191, 12, 50.0, 1000.0, 0
24.9, -85.1, 1326, 1, 2005, 6, 10, 191, 18, 55.0, 995.0, 0
26.5, -85.6, 1326, 1, 2005, 6, 11, 192, 0, 60.0, 990.0, 0
27.7, -86.8, 1326, 1, 2005, 6, 11, 192, 6, 60.0, 993.0, 0
28.9, -87.2, 1326, 1, 2005, 6, 11, 192, 12, 55.0, 990.0, 0
30.1, -87.5, 1326, 1, 2005, 6, 11, 192, 18, 50.0, 991.0, 0
31.4, -87.6, 1326, 1, 2005, 6, 12, 193, 0, 30.0, 994.0, 0
32.7, -87.7, 1326, 1, 2005, 6, 12, 193, 6, 25.0, 998.0, 0
35.0, -88.0, 1326, 1, 2005, 6, 12, 193, 12, 20.0, 1003.0, 0
37.0, -87.8, 1326, 1, 2005, 6, 12, 193, 18, 20.0, 1005.0, 0
38.5, -87.5, 1326, 1, 2005, 6, 13, 194, 0, 20.0, 1006.0, 0
40.5, -86.0, 1326, 1, 2005, 6, 13, 194, 6, 20.0, 1006.0, 0
42.0, -85.0, 1326, 1, 2005, 6, 13, 194, 12, 20.0, 1005.0, 0
43.0, -84.0, 1326, 1, 2005, 6, 13, 194, 18, 20.0, 1005.0, 0
43.7, -81.1, 1326, 1, 2005, 6, 14, 195, 0, 20.0, 1003.0, 0
44.8, -77.6, 1326, 1, 2005, 6, 14, 195, 6, 20.0, 1001.0, 0
19.7, -95.4, 1327, 2, 2005, 6, 28, 209, 18, 30.0, 1006.0, 0
20.0, -95.8, 1327, 2, 2005, 6, 29, 210, 0, 35.0, 1005.0, 0
20.4, -96.4, 1327, 2, 2005, 6, 29, 210, 6, 35.0, 1005.0, 0
20.8, -97.3, 1327, 2, 2005, 6, 29, 210, 12, 35.0, 1005.0, 0
21.4, -98.1, 1327, 2, 2005, 6, 29, 210, 18, 25.0, 1007.0, 0
22.0, -98.5, 1327, 2, 2005, 6, 30, 211, 0, 25.0, 1008.0, 0
18.3, -86.7, 1328, 3, 2005, 7, 3, 215, 18, 30.0, 1009.0, 0
18.6, -87.2, 1328, 3, 2005, 7, 4, 216, 0, 30.0, 1007.0, 0
19.3, -87.9, 1328, 3, 2005, 7, 4, 216, 6, 30.0, 1007.0, 0
20.9, -88.5, 1328, 3, 2005, 7, 4, 216, 12, 25.0, 1011.0, 0
22.3, -89.0, 1328, 3, 2005, 7, 4, 216, 18, 30.0, 1010.0, 0
23.9, -89.7, 1328, 3, 2005, 7, 5, 217, 0, 30.0, 1009.0, 0
25.1, -90.2, 1328, 3, 2005, 7, 5, 217, 6, 35.0, 1009.0, 0
26.4, -90.4, 1328, 3, 2005, 7, 5, 217, 12, 45.0, 1002.0, 0
27.6, -90.5, 1328, 3, 2005, 7, 5, 217, 18, 60.0, 997.0, 0
28.5, -90.3, 1328, 3, 2005, 7, 6, 218, 0, 65.0, 992.0, 0
29.6, -90.0, 1328, 3, 2005, 7, 6, 218, 6, 50.0, 994.0, 0
30.8, -88.9, 1328, 3, 2005, 7, 6, 218, 12, 40.0, 998.0, 0
31.6, -88.1, 1328, 3, 2005, 7, 6, 218, 18, 30.0, 1000.0, 0
32.4, -87.2, 1328, 3, 2005, 7, 7, 219, 0, 25.0, 1004.0, 0
33.2, -86.2, 1328, 3, 2005, 7, 7, 219, 6, 20.0, 1008.0, 0
34.6, -84.1, 1328, 3, 2005, 7, 7, 219, 12, 20.0, 1009.0, 0
35.6, -81.8, 1328, 3, 2005, 7, 7, 219, 18, 20.0, 1010.0, 0
37.1, -80.0, 1328, 3, 2005, 7, 8, 220, 0, 20.0, 1010.0, 0
37.8, -78.3, 1328, 3, 2005, 7, 8, 220, 6, 20.0, 1010.0, 0
38.4, -76.7, 1328, 3, 2005, 7, 8, 220, 12, 25.0, 1009.0, 0
39.1, -74.8, 1328, 3, 2005, 7, 8, 220, 18, 25.0, 1009.0, 0
